country,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2.1,,,,,,,,,,1.3,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,3.5,,,3.5,,,3.7,,,,3.7,,2.9,3.2,3,3.1,3.2,3.5,3.4,,,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,2.8,,,,,
Argentina,,,,,,,,,,,,,,,,,,2,,,,,,1.8,1.6,,,,1.8,1.6,1.5,1.5,1.1,1.1,1.1,1.1,1.1,1,0.7,0.9,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1.6,1.7,1.7,1.8,1.8,,1.7,1.8,1.7,1.6,1.7,1.8,2,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3.2,3.3,3.7,3.1,3.3,3.7,3.5,3.9,4,3.9,3.8,3.8,3.6,3.5,3.4,3.3,3.5,3.3,3.7,4.4,4,3.9,
Australia,,,,,,,,,,,,,,,,,,,2.9,,,,2.7,,,,2.7,,,,,,2.9,,,,,,2.8,,2.8,3.1,,,,2.8,,2.8,,,,2.9,,2.9,,2.8,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.3,3.5,3.4,3.3,3.6,3.5,,,3.3,3.4,3.5,3.4,3.1,3,2.8,3.1,2.9,2.8,3.1,3.1,3,2.8,3,3,2.9,2.9,2.8,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,3.1,4.8,4.5,4.8,4.8,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,1.9,,,,,,,,4,,,,,,,2.8,,,,,,,2.9,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,4.2,,,4,,,,3.9,,,3.4,,3.6,,,3.4,,,3.3,3.4,3.4,3.4,3.4,3.4,3.2,3.3,3.3,3.4,3.3,3.4,3.4,3.4,3.4,3.5,3.6,3.7,3.6,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,2.5,,,,1.1,,,2.9,,,3.1,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,2,,,,,2.3,,,,,,2.7,,,,,3.6,,,,2.6,,,3,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,4.1,,4.5,,,4.2,,,4.1,,,,3.8,,,,,3.7,,,,,3.8,,,,,3.9,,,,,,3.7,,,,,,3.5,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.2,2.4,2.4,2.1,2.1,2,1.8,2,1.5,1.6,1.9,1.9,1.9,2.2,2,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,2.9,,,3,,,,2.9,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3,3.1,3.3,3.3,3.5,3.8,3.6,3.6,3.5,3.7,3.7,3.6,3.8,4,4,3.9,4.1,4.2,4.3,4.3,4.2,4.5,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1,,1,0.7,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,1.7,,,,,0.5,,0.3,0.3,0.5,0.4,,0.9,0.5,0.6,0.8,0.9,0.8,,1.1,0.9,1,1.1,1.1,1,1.1,1.4,1.7,1.5,1.8,,
Brazil,,,,,,,,,,,,,,,,,,,0.9,0.9,0.9,0.9,1,0.9,0.8,0.7,0.6,0.8,,0.9,0.7,,0.8,0.7,0.7,0.8,0.8,,0.8,0.9,0.9,0.9,1,1,1,1,1,,1.1,1.1,1.2,1.2,1.2,1.1,1,1,0.9,1.6,1,1.2,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,2.7,,,,,2.7,,,,,2.7,,,,,3.6,
Botswana,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,1.2,,,,,,,,,0.8,,,,,,,1.1,,,,,,1.5,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,2.1,,
Canada,,,,,,,,,1.8,,2.1,,2.3,,2.3,,2.3,,2.5,2.6,,2.4,2.6,2.7,2.8,2.9,2.8,2.6,2.6,2.8,2.7,2.8,2.8,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.8,2.8,2.7,2.7,2.8,2.9,2.6,2.5,2.7,2.6,2.9,2.8,2.9,3,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2.9,,,,,,,,3.2,,3.4,,3.4,,2.9,2.9,3,3.1,3.1,3.2,3.3,3.3,3.2,3.2,3,3.1,3,2.9,3,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,1.2,,1.4,,1.2,,1.3,,1.3,,1.3,,,1.4,,,1.8,,,1.9,,2,,2.1,,2.2,,2.2,,,1.7,,2.3,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,3.3,,,3.1,,,2.7,,,2.3,,,2.4,,,2.1,,2,2.1,2.1,2.5,2.5,2.6,2.7,2.6,2.7,2.8,3.1,3.2,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,1.8,2.8,2.5,2.7,,,,2.3,,,2.7,,,2.6,,,,2.3,,,,,,1.8,,,,,,,2.1,,,2.9,,,3.1,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,2.5,,,,,,2.5,,,,,,,1.7,,,,,,,2.1,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,2.1,,,,,,,,2.1,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1.6,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,1,,,,,,,,1.2,1.4,,1.3,1.1,,,,0.6,,,0.5,0.3,0.6,1.1,1.2,1.2,1.2,,,1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.2,0.9,1,1,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,1.6,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,2,,,,,,,,2.2,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,1.1,,,,,1.5,,,1,1,1,1.1,1.1,1.2,1.2,1.1,1.3,1.4,1.2,1.2,1.1,1.1,1.1,1.3,1.4,1.4,1.5,1.5,1.3,1.6,1.5,1.5,1.4,1.5,1.5,1.5,1.6,1.5,1.6,1.4,1.6,1.7,1.6
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.8,3.7,3.7,3.7,3.5,3.6,3.4,3.3,3.1,3,3.2,3.4,3.4,3.5,3.5,3.6,3.5,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,4.8,,,4.2,,,,,,4.1,,3.6,3.8,3.7,3.9,3.9,3.8,3.7,3.7,3.9,3.8,3.9,3.9,4,4.2,4.2,4.2,4,3.9,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.7,3.8,3.5,3.5,3.8,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.5,3.5,3.4,3.5,3.5,3.3,3.4,3.2,3.2,3.2,3.1,3.1,3.1,2.9,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,1.3,1.7,,,,1.9,,,,,,
